CHR,GENE,N_SNPS,SNP_FIRST,SNP_LAST,P,STAT,VAR
20,GENE_38,5,534,538,1.0,3.5192499867571166e-09,8.173037822387443e-09
20,GENE_39,7,545,551,1.0,4.926949981459963e-09,1.2469117597612497e-08
20,GENE_40,2,555,556,1.0,1.4076999947028466e-09,6.460633784802017e-09
20,GENE_41,2,557,558,1.0,1.4076999947028466e-09,3.4591212534872875e-09
20,GENE_42,2,561,562,0.9959542760636988,3.2767392117214426e-07,3.232947201261527e-09
20,GENE_43,5,564,568,1.0,9.372900287135869e-08,1.0516243666638508e-08
20,GENE_44,2,581,582,0.014032279939959924,0.00034306208065241166,3.232900803439736e-09
20,GENE_45,4,595,598,1.0,2.8153999894056932e-09,6.917831880060801e-09
20,GENE_46,4,605,608,1.0,2.8153999894056932e-09,7.193439510712407e-09
20,GENE_47,3,610,612,0.5914936402053861,7.67501299694904e-05,4.850159595629758e-09
20,GENE_48,3,615,617,0.9999995297154215,2.11154999205427e-09,4.916730576678559e-09
20,GENE_49,3,616,618,1.0,2.11154999205427e-09,6.0265389524678895e-09
20,GENE_50,7,624,630,1.0,3.042894246803528e-07,1.8742801314103574e-08
20,GENE_51,3,631,633,0.9863461729316051,5.712381650771418e-06,4.850432873457457e-09
20,GENE_52,4,638,641,0.031102255514494415,0.00045474683732530334,7.589736916706373e-09
20,GENE_53,3,641,643,0.9999995414610376,2.11154999205427e-09,4.856878191479488e-09
20,GENE_54,5,644,648,0.05469335169642475,0.0005269508196364494,1.5382613010065777e-08
20,GENE_55,2,650,651,1.0,1.4076999947028466e-09,3.955094674082764e-09
20,GENE_56,3,652,654,6.234934563631445e-05,0.000888401108629741,4.84942719758251e-09
20,GENE_57,7,659,665,6.829743815900035e-11,0.0027751718419516645,1.2249659837782035e-08
20,GENE_58,4,673,676,0.06476296946479265,0.0004033890253236955,1.0236421193509493e-08
20,GENE_59,5,678,682,1.0,1.3883506342361883e-07,8.443161958005242e-09
20,GENE_60,5,683,687,0.5126027485172084,0.0001683074819257982,8.821132038298971e-09
20,GENE_61,19,706,724,1.0,8.960837381337387e-06,3.6294351405512686e-08
20,GENE_62,2,757,758,0.9999834140279947,1.4076999947028466e-09,3.232900931333821e-09
20,GENE_63,3,778,780,0.9998868493430826,2.2771287829794212e-07,4.850479952501778e-09
20,GENE_64,31,797,827,1.0,3.7663924771517886e-07,6.335374474128003e-08
20,GENE_65,2,828,829,1.0,1.4076999947028466e-09,3.4948723638386045e-09
20,GENE_66,6,833,838,1.0,4.22309998410854e-09,1.1038538517086427e-08
20,GENE_67,75,870,944,1.0,6.427561826588233e-06,1.723951801297582e-07
20,GENE_68,14,953,966,1.0,9.853899962919926e-09,3.9072755796070594e-08
